epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,1228.1,0.16776,0.13504,0.7975,0.99916,1,0.995,0.99474,0.1388,0.10251,0.7391,0.000456758,0.000456758,0.000456758
112,1239.16,0.16278,0.13128,0.79293,0.99922,1,0.995,0.99463,0.13099,0.09498,0.7391,0.000445756,0.000445756,0.000445756
113,1250.25,0.16705,0.13067,0.7966,0.99923,1,0.995,0.99449,0.12887,0.09203,0.73807,0.000434754,0.000434754,0.000434754
114,1261.26,0.16723,0.12956,0.80713,0.9992,1,0.995,0.99421,0.1448,0.10378,0.74024,0.000423751,0.000423751,0.000423751
115,1272.36,0.16763,0.13073,0.79853,0.9992,1,0.995,0.99408,0.12668,0.09329,0.73776,0.000412749,0.000412749,0.000412749
116,1283.46,0.1635,0.12798,0.80446,0.99921,1,0.995,0.99433,0.12598,0.0906,0.73833,0.000401747,0.000401747,0.000401747
117,1294.6,0.16717,0.13024,0.80005,0.99922,1,0.995,0.99409,0.13148,0.09798,0.74006,0.000390745,0.000390745,0.000390745
118,1305.69,0.16515,0.12492,0.79628,0.99954,1,0.995,0.9945,0.1232,0.09067,0.73735,0.000379743,0.000379743,0.000379743
119,1316.71,0.16216,0.12732,0.80179,0.99952,1,0.995,0.99468,0.12919,0.10274,0.73775,0.00036874,0.00036874,0.00036874
120,1327.7,0.16173,0.12958,0.79904,0.99921,1,0.995,0.99442,0.13614,0.09363,0.7389,0.000357738,0.000357738,0.000357738
121,1338.81,0.16326,0.12815,0.803,0.99921,1,0.995,0.99439,0.1317,0.09724,0.73861,0.000346736,0.000346736,0.000346736
