epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1047.03,0.481,0.27043,0.83021,0.99956,1,0.995,0.90921,0.47847,0.21368,0.77931,0.0003566,0.0003566,0.0003566
85,1059.45,0.461,0.26435,0.8183,0.99958,1,0.995,0.92198,0.45458,0.21763,0.77746,0.0003368,0.0003368,0.0003368
86,1071.84,0.46515,0.26676,0.82572,0.99958,1,0.995,0.90393,0.48354,0.21867,0.77953,0.000317,0.000317,0.000317
87,1084.21,0.48307,0.27754,0.83084,0.99958,1,0.995,0.90171,0.50833,0.22815,0.78158,0.0002972,0.0002972,0.0002972
88,1096.59,0.47219,0.27257,0.82697,0.99958,1,0.995,0.91815,0.44604,0.20967,0.77572,0.0002774,0.0002774,0.0002774
89,1108.95,0.46219,0.26579,0.81735,0.99958,1,0.995,0.88189,0.5671,0.23958,0.78724,0.0002576,0.0002576,0.0002576
90,1121.23,0.47112,0.26706,0.82569,0.99958,1,0.995,0.91619,0.47597,0.22109,0.77635,0.0002378,0.0002378,0.0002378
91,1133.52,0.43701,0.2449,0.79857,0.99956,1,0.995,0.89544,0.49348,0.22325,0.77878,0.000218,0.000218,0.000218
92,1145.74,0.44563,0.23926,0.80426,0.9995,1,0.995,0.88035,0.52679,0.2399,0.78283,0.0001982,0.0001982,0.0001982
93,1157.96,0.45201,0.24297,0.80671,0.99948,1,0.995,0.88555,0.51955,0.24178,0.78472,0.0001784,0.0001784,0.0001784
94,1170.09,0.45093,0.23831,0.81939,0.99956,1,0.995,0.89222,0.49499,0.23934,0.77851,0.0001586,0.0001586,0.0001586
95,1182.49,0.43412,0.23076,0.79679,0.99958,1,0.995,0.88993,0.49757,0.22461,0.77873,0.0001388,0.0001388,0.0001388
96,1194.73,0.43374,0.23224,0.79537,0.99957,1,0.995,0.90079,0.47933,0.23258,0.77719,0.000119,0.000119,0.000119
97,1206.94,0.41903,0.22538,0.78268,0.99958,1,0.995,0.87843,0.54011,0.24053,0.7819,9.92e-05,9.92e-05,9.92e-05
98,1219.24,0.42891,0.2301,0.7943,0.99958,1,0.995,0.899,0.48577,0.22817,0.7781,7.94e-05,7.94e-05,7.94e-05
99,1231.44,0.43105,0.22626,0.80191,0.99958,1,0.995,0.90805,0.47221,0.22692,0.77678,5.96e-05,5.96e-05,5.96e-05
100,1243.68,0.42012,0.22318,0.8009,0.99958,1,0.995,0.90005,0.48578,0.22749,0.77765,3.98e-05,3.98e-05,3.98e-05
